pclass,survived,sex,age,sibsp,parch,ticket,fare,cabin,embarked,boat,body,home.dest
1st,0,male,60,0,0,113800,26.5499992,,Southampton,,NA,"England Salt Lake City, Utah"
1st,0,male,54,0,1,35281,77.2874985,D26,Southampton,,NA,"Brunswick, ME"
1st,0,male,21,0,1,35281,77.2874985,D26,Southampton,,169,"Brunswick, ME"
1st,1,female,55,0,0,PC 17760,135.633301,C32,Cherbourg,8,NA,"New York, NY / Briarcliff Manor"
1st,1,female,31,0,2,36928,164.866699,C7,Southampton,8,NA,"Youngstown, OH"
1st,0,male,57,1,1,36928,164.866699,,Southampton,,NA,"Youngstown, OH"
1st,1,female,45,1,1,36928,164.866699,,Southampton,8,NA,"Youngstown, OH"
1st,0,male,50,1,1,113503,211.5,C80,Cherbourg,,NA,"Elkins Park, PA"
1st,0,male,27,0,2,113503,211.5,C82,Cherbourg,,NA,"Elkins Park, PA"
1st,1,female,50,1,1,113503,211.5,C80,Cherbourg,4,NA,"Elkins Park, PA"
1st,1,female,21,0,0,113795,26.5499992,,Southampton,8 10,NA,"Duluth, MN"
1st,0,male,51,0,1,PC 17597,61.3792,,Cherbourg,,NA,"Geneva, Switzerland / Radnor, P"
1st,1,male,21,0,1,PC 17597,61.3792,,Cherbourg,A,NA,"Geneva, Switzerland / Radnor, P"
1st,0,male,NA,0,0,113510,35,C128,Southampton,,NA,"London, England"
1st,1,female,31,0,0,16966,134.5,E39 E41,Cherbourg,3,NA,
1st,1,male,NA,0,0,19947,35.5,C52,Southampton,D,NA,"London, England"
1st,0,male,62,0,0,113807,26.5499992,,Southampton,,NA,"Halifax, NS"
1st,1,female,36,0,0,PC 17760,135.633301,C32,Cherbourg,8,NA,"New York, NY / Washington, DC"
2nd,0,male,30,1,0,P/PP 3381,24,,Cherbourg,,NA,"Russia New York, NY"
2nd,1,female,28,1,0,P/PP 3381,24,,Cherbourg,10,NA,"Russia New York, NY"
2nd,0,male,30,0,0,248744,13,,Southampton,,NA,"Bryn Mawr, PA, USA"
2nd,0,male,18,0,0,231945,11.5,,Southampton,,NA,"Buenos Aires, Argentina / New J"
2nd,0,male,25,0,0,C.A. 34050,10.5,,Southampton,,NA,"Cornwall, England Houghton, MI"
2nd,0,male,34,1,0,226875,26,,Southampton,,NA,"Warwick, England"
2nd,1,female,36,1,0,226875,26,,Southampton,11,NA,"Warwick, England"
2nd,0,male,57,0,0,244346,13,,Southampton,,NA,"West Hoboken, NJ"
2nd,0,male,18,0,0,29108,11.5,,Southampton,,NA,"Penzance, Cornwall / Akron, OH"
2nd,0,male,23,0,0,C.A. 31030,10.5,,Southampton,,NA,Guernsey
2nd,1,female,36,0,0,28551,13,D,Southampton,10,NA,"Bristol, Avon / Jacksonville, F"
2nd,0,male,28,0,0,C.A./SOTON 34068,10.5,,Southampton,,NA,"Plymouth, Dorset / Houghton, MI"
2nd,0,male,51,0,0,S.O.P. 1166,12.5249996,,Southampton,,174,"Jacksonville, FL"
2nd,1,male,32,1,0,2908,26,,Southampton,13,NA,"Norwich / New York, NY"
2nd,1,female,19,1,0,2908,26,,Southampton,13,NA,"Norwich / New York, NY"
2nd,0,male,28,0,0,244358,26,,Southampton,,NA,England
2nd,1,male,1,2,1,230136,39,F4,Southampton,11,NA,"Guntur, India / Benton Harbour,"
2nd,1,female,4,2,1,230136,39,F4,Southampton,11,NA,"Guntur, India / Benton Harbour,"
2nd,1,female,12,2,1,230136,39,F4,Southampton,13,NA,"Guntur, India / Benton Harbour,"
2nd,1,female,36,0,3,230136,39,F4,Southampton,11,NA,"Guntur, India / Benton Harbour,"
2nd,1,male,34,0,0,248698,13,D56,Southampton,13,NA,London
2nd,1,female,19,0,0,28404,13,,Southampton,12,NA,"Rochester, NY"
2nd,0,male,23,0,0,28425,13,,Southampton,,NA,"St Ives, Cornwall / Calumet, MI"
2nd,0,male,26,0,0,237670,13,,Southampton,,NA,"Elmira, NY / Orange, NJ"
2nd,0,male,42,0,0,211535,13,,Southampton,,NA,London
2nd,0,male,27,0,0,220367,13,,Southampton,,NA,"Lake Arthur, Chavez County, NM"
2nd,1,female,24,0,0,248733,13,F33,Southampton,11,NA,"London / Montreal, PQ"
2nd,1,female,15,0,2,29750,39,,Southampton,14,NA,"Cape Town, South Africa / Seatt"
2nd,0,male,60,1,1,29750,39,,Southampton,,NA,"Cape Town, South Africa / Seatt"
2nd,1,female,40,1,1,29750,39,,Southampton,14,NA,"Cape Town, South Africa / Seatt"
2nd,1,female,20,1,0,236853,26,,Southampton,12,NA,"Skara, Sweden / Rockford, IL"
2nd,0,male,25,1,0,236853,26,,Southampton,,NA,"Skara, Sweden / Rockford, IL"
2nd,1,female,36,0,0,27849,13,,Southampton,9,NA,"Sittingbourne, England / San Di"
2nd,0,male,25,0,0,234686,13,,Southampton,,97,"Southsea, Hants"
2nd,0,male,42,0,0,244310,13,,Southampton,,NA,London
2nd,1,female,42,0,0,236852,13,,Southampton,,NA,"New York, NY"
2nd,1,male,0.833299994,0,2,248738,29,,Southampton,13,NA,"Bangkok, Thailand / Roseville,"
2nd,1,male,26,1,1,248738,29,,Southampton,13,NA,"Bangkok, Thailand / Roseville,"
2nd,1,female,22,1,1,248738,29,,Southampton,13,NA,"Bangkok, Thailand / Roseville,"
2nd,1,female,35,0,0,F.C.C. 13528,21,,Southampton,14,NA,"Mamaroneck, NY"
2nd,0,male,NA,0,0,239853,0,,Southampton,,NA,Belfast
2nd,0,male,19,0,0,28424,13,,Southampton,,18,"St Ives, Cornwall / Calumet, MI"
2nd,0,female,44,1,0,244252,26,,Southampton,,NA,London
2nd,0,male,54,1,0,244252,26,,Southampton,,NA,London
2nd,0,male,52,0,0,248731,13.5,,Southampton,,130,"Bronx, NY"
2nd,0,male,37,1,0,SC/AH 29037,26,,Southampton,,17,"Cornwall / Spokane, WA"
2nd,0,female,29,1,0,SC/AH 29037,26,,Southampton,,NA,"Cornwall / Spokane, WA"
2nd,1,female,25,1,1,237789,30,,Southampton,12,NA,London
2nd,1,female,45,0,2,237789,30,,Southampton,12,NA,London
2nd,0,male,29,1,0,2003,26,,Southampton,,NA,"England / San Francisco, CA"
2nd,1,female,28,1,0,2003,26,,Southampton,14,NA,"England / San Francisco, CA"
2nd,0,male,29,0,0,W./C. 14263,10.5,,Southampton,,NA,"Hartford, Huntingdonshire"
2nd,0,male,28,0,0,248740,13,,Southampton,,NA,"Helsinki, Finland Ashtabula, Oh"
2nd,1,male,24,0,0,28034,10.5,,Southampton,9,NA,"London / Fort Byron, NY"
2nd,1,female,8,0,2,C.A. 31921,26.25,,Southampton,14,NA,"Bishopstoke, Hants / Fayette Va"
2nd,0,male,31,1,1,C.A. 31921,26.25,,Southampton,,NA,"Bishopstoke, Hants / Fayette Va"
2nd,1,female,31,1,1,C.A. 31921,26.25,,Southampton,14,NA,"Bishopstoke, Hants / Fayette Va"
2nd,1,female,22,0,0,W./C. 14266,10.5,F33,Southampton,14,NA,Pennsylvania
2nd,0,female,30,0,0,237249,13,,Southampton,,NA,"Provo, UT"
2nd,0,female,NA,0,0,F.C.C. 13534,21,,Southampton,,NA,"Upper Burma, India Pittsburgh,"
2nd,0,male,21,0,0,29107,11.5,,Southampton,,NA,"Penzance, Cornwall / Akron, OH"
2nd,0,male,NA,0,0,239853,0,,Southampton,,NA,Belfast
2nd,1,male,8,1,1,C.A. 33112,36.75,,Southampton,14,NA,"St Ives, Cornwall / Hancock, MI"
2nd,0,male,18,0,0,S.O.C. 14879,73.5,,Southampton,,NA,"Lyndhurst, England"
2nd,1,female,48,0,2,C.A. 33112,36.75,,Southampton,14,NA,"St Ives, Cornwall / Hancock, MI"
2nd,1,female,28,0,0,237668,13,,Southampton,13,NA,"London / Staten Island, NY"
2nd,0,male,32,0,0,244360,13,,Southampton,,NA,"Portugal / Sau Paulo, Brazil"
2nd,0,male,17,0,0,S.O.C. 14879,73.5,,Southampton,,NA,
2nd,0,male,29,1,0,SC/PARIS 2167,27.7208004,,Cherbourg,,295,"Lucca, Italy / California"
2nd,1,female,24,1,0,SC/PARIS 2167,27.7208004,,Cherbourg,12,NA,"Lucca, Italy / California"
2nd,0,male,25,0,0,C.A. 31029,31.5,,Southampton,,NA,"Guernsey / Elizabeth, NJ"
2nd,0,male,18,0,0,S.O.C. 14879,73.5,,Southampton,,NA,"New Forest, England"
2nd,1,female,18,0,1,231919,23,,Southampton,,NA,Southampton
2nd,1,female,34,0,1,231919,23,,Southampton,,NA,Southampton
2nd,0,male,54,0,0,28403,26,,Southampton,,NA,"Holley, NY"
2nd,1,male,8,0,2,28220,32.5,,Southampton,10,NA,"Greenport, NY"
2nd,0,male,42,1,1,28220,32.5,,Southampton,,NA,"Greenport, NY"
2nd,1,female,34,1,1,28220,32.5,,Southampton,10,NA,"Greenport, NY"
2nd,1,female,27,1,0,SC/PARIS 2149,13.8583002,,Cherbourg,12,NA,"Barcelona, Spain / Havana, Cuba"
2nd,1,female,30,1,0,SC/PARIS 2148,13.8583002,,Cherbourg,12,NA,"Barcelona, Spain / Havana, Cuba"
2nd,0,male,23,0,0,29751,13,,Southampton,,NA,"England / Detroit, MI"
2nd,0,male,21,0,0,236854,13,,Southampton,,NA,"Goteborg, Sweden / Rockford, IL"
2nd,0,male,18,0,0,236171,13,,Southampton,,NA,"Oslo, Norway Bayonne, NJ"
2nd,0,male,40,1,0,2926,26,,Southampton,,286,"England / Philadelphia, PA"
2nd,1,female,29,1,0,2926,26,,Southampton,16,NA,
2nd,0,male,18,0,0,C.A. 15185,10.5,,Southampton,,NA,"Cornwall / Houghton, MI"
2nd,0,male,36,0,0,229236,13,,Southampton,,236,"Rochester, NY"
2nd,0,male,NA,0,0,239854,0,,Southampton,,NA,Belfast
2nd,0,female,38,0,0,237671,13,,Southampton,,NA,"Janjgir, India / Pennsylvania"
2nd,0,male,35,0,0,239865,26,,Southampton,,322,"Liverpool / Montreal, PQ"
2nd,0,male,38,1,0,28664,21,,Southampton,,NA,"Cornwall / Clear Creek, CO"
2nd,0,male,34,1,0,28664,21,,Southampton,,NA,"Cornwall / Clear Creek, CO"
2nd,1,female,34,0,0,243880,13,,Southampton,12,NA,"Brooklyn, NY"
2nd,0,male,16,0,0,239865,26,,Southampton,,NA,"Liverpool / Montreal, PQ"
2nd,0,male,26,0,0,31028,10.5,,Southampton,,NA,"Guernsey / Elizabeth, NJ"
2nd,0,male,47,0,0,C.A. 30769,10.5,,Southampton,,NA,Cornwall
2nd,0,male,21,1,0,28133,11.5,,Southampton,,NA,"Cornwall / Camden, NJ"
2nd,0,male,21,1,0,28134,11.5,,Southampton,,NA,"Cornwall / Camden, NJ"
2nd,0,male,24,0,0,248726,13.5,,Southampton,,297,"West Kensington, London"
2nd,0,male,24,0,0,233866,13,,Southampton,,155,"Clevedon, England"
2nd,0,male,34,0,0,12233,13,,Southampton,,NA,"Vancouver, BC"
2nd,0,male,30,0,0,250646,13,,Southampton,,305,
2nd,0,male,52,0,0,250647,13,,Southampton,,19,"Bronx, NY"
2nd,0,male,30,0,0,250653,13,,Southampton,,75,"Auburn, NY"
2nd,1,male,0.666700006,1,1,250649,14.5,,Southampton,4,NA,"Detroit, MI"
2nd,1,female,24,0,2,250649,14.5,,Southampton,4,NA,"Detroit, MI"
2nd,0,male,44,0,0,248746,13,,Southampton,,35,"Seattle, WA / Toledo, OH"
2nd,1,female,6,0,1,248727,33,,Southampton,11,NA,"Denmark Hill, Surrey / Chicago"
2nd,0,male,28,0,1,248727,33,,Southampton,,NA,"Denmark Hill, Surrey / Chicago"
2nd,1,male,62,0,0,S.W./PP 752,10.5,,Southampton,15,NA,London
2nd,0,male,30,0,0,W/C 14208,10.5,,Southampton,,NA,"Walthamstow, England"
2nd,1,female,7,0,2,F.C.C. 13529,26.25,,Southampton,14,NA,"Ilford, Essex / Winnipeg, MB"
2nd,0,male,43,1,1,F.C.C. 13529,26.25,,Southampton,,NA,"Ilford, Essex / Winnipeg, MB"
2nd,1,female,45,1,1,F.C.C. 13529,26.25,,Southampton,14,NA,"Ilford, Essex / Winnipeg, MB"
2nd,1,female,24,1,2,220845,65,,Southampton,9,NA,"Somerset / Bernardsville, NJ"
2nd,1,female,24,1,2,220845,65,,Southampton,9,NA,"Somerset / Bernardsville, NJ"
2nd,0,male,49,1,2,220845,65,,Southampton,,NA,"Somerset / Bernardsville, NJ"
2nd,1,female,48,1,2,220845,65,,Southampton,9,NA,"Somerset / Bernardsville, NJ"
2nd,1,female,55,0,0,248706,16,,Southampton,13,NA,"India / Rapid City, SD"
2nd,0,male,24,2,0,S.O.C. 14879,73.5,,Southampton,,NA,"West Hampstead, London / Neepaw"
2nd,0,male,32,2,0,S.O.C. 14879,73.5,,Southampton,,256,"West Hampstead, London / Neepaw"
2nd,0,male,21,2,0,S.O.C. 14879,73.5,,Southampton,,NA,"West Hampstead, London / Neepaw"
2nd,0,female,18,1,1,250650,13,,Southampton,,NA,"Kontiolahti, Finland / Detroit,"
2nd,1,female,20,2,1,29105,23,,Southampton,4,NA,"Cornwall / Akron, OH"
2nd,0,male,23,2,1,29104,11.5,,Southampton,,NA,"Cornwall / Akron, OH"
2nd,0,male,36,0,0,242963,13,,Southampton,,NA,"Devonport, England"
2nd,1,female,54,1,3,29105,23,,Southampton,4,NA,"Cornwall / Akron, OH"
2nd,0,male,50,0,0,250643,13,,Southampton,,149,Southampton
2nd,0,male,44,1,0,26707,26,,Southampton,,NA,"England / Sacramento, CA"
2nd,1,female,29,1,0,26707,26,,Southampton,10,NA,"England / Sacramento, CA"
2nd,0,male,21,0,0,S.O.C. 14879,73.5,,Southampton,,NA,"New Forest, England"
2nd,1,male,42,0,0,237798,13,,Southampton,10,NA,"Tokyo, Japan"
2nd,0,male,63,1,0,24065,26,,Southampton,,NA,"Swindon, England"
2nd,0,female,60,1,0,24065,26,,Southampton,,NA,"Swindon, England"
2nd,0,male,33,0,0,SCO/W 1585,12.2749996,,Southampton,,NA,"Philadelphia, PA"
2nd,1,female,17,0,0,SO/C 14885,10.5,,Southampton,,NA,Guernsey
2nd,0,male,42,1,0,243847,27,,Southampton,,NA,London
2nd,1,female,24,2,1,243847,27,,Southampton,12,NA,London
2nd,0,male,47,0,0,237565,15,,Southampton,,NA,"North Evington, England"
2nd,0,male,24,2,0,C.A. 31029,31.5,,Southampton,,NA,"Guernsey / Elizabeth, NJ"
2nd,0,male,22,2,0,C.A. 31029,31.5,,Southampton,,NA,"Guernsey / Elizabeth, NJ"
2nd,0,male,32,0,0,C.A. 33111,10.5,,Southampton,,NA,"St Ives, Cornwall / Houghton, M"
2nd,1,female,23,0,0,SC/AH Basle 541,13.7917004,D,Cherbourg,11,NA,"New York, NY"
2nd,0,male,34,1,0,244367,26,,Southampton,,283,"Moscow / Bronx, NY"
2nd,1,female,24,1,0,244367,26,,Southampton,12,NA,"Moscow / Bronx, NY"
2nd,0,female,22,0,0,F.C.C. 13534,21,,Southampton,,NA,"India / Pittsburgh, PA"
2nd,1,female,NA,0,0,226593,12.3500004,E101,Queenstown,10,NA,"Harrisburg, PA"
2nd,0,male,35,0,0,233734,12.3500004,,Queenstown,,NA,
2nd,1,female,45,0,0,223596,13.5,,Southampton,9,NA,"London / New York, NY"
2nd,0,male,57,0,0,219533,12.3500004,,Queenstown,,NA,"Glasgow / Bangor, ME"
2nd,0,male,NA,0,0,239855,0,,Southampton,,NA,Belfast
2nd,0,male,31,0,0,C.A. 18723,10.5,,Southampton,,165,"Sweden / Arlington, NJ"
2nd,0,female,26,1,1,250651,26,,Southampton,,NA,"Minneapolis, MN"
2nd,0,male,30,1,1,250651,26,,Southampton,,NA,"Minneapolis, MN"
2nd,0,male,NA,0,0,240261,10.7082996,,Queenstown,,NA,
2nd,1,female,1,1,2,SC/Paris 2123,41.5792007,,Cherbourg,14,NA,Paris / Haiti
2nd,1,female,3,1,2,SC/Paris 2123,41.5792007,,Cherbourg,14,NA,Paris / Haiti
2nd,0,male,25,1,2,SC/Paris 2123,41.5792007,,Cherbourg,,NA,Paris / Haiti
2nd,1,female,22,1,2,SC/Paris 2123,41.5792007,,Cherbourg,14,NA,Paris / Haiti
2nd,1,female,17,0,0,SC 1748,12,,Cherbourg,12,NA,"Berne, Switzerland / Central Ci"
2nd,1,female,NA,0,0,248727,33,,Southampton,11,NA,"London / Chicago, IL"
2nd,1,female,34,0,0,C.A. 34260,10.5,F33,Southampton,14,NA,"Chicago, IL"
2nd,0,male,36,0,0,SC/Paris 2163,12.875,D,Cherbourg,,NA,"Montreal, PQ"
2nd,0,male,24,0,0,C.A. 29566,10.5,,Southampton,,108,
2nd,0,male,61,0,0,235509,12.3500004,,Queenstown,,NA,
2nd,0,male,50,1,0,SC/AH 3085,26,,Southampton,,121,"Weston-Super-Mare, Somerset"
2nd,1,female,42,1,0,SC/AH 3085,26,,Southampton,,NA,"Weston-Super-Mare, Somerset"
2nd,0,female,57,0,0,S.O./P.P. 3,10.5,E77,Southampton,,52,"Southampton / New York, NY"
2nd,0,male,NA,0,0,237735,15.0458002,D,Cherbourg,,NA,Paris
2nd,1,male,1,0,2,S.C./PARIS 2079,37.0042,,Cherbourg,10,NA,"Paris / Montreal, PQ"
2nd,0,male,31,1,1,S.C./PARIS 2079,37.0042,,Cherbourg,,NA,"Paris / Montreal, PQ"
2nd,1,female,24,1,1,S.C./PARIS 2079,37.0042,,Cherbourg,10,NA,"Paris / Montreal, PQ"
2nd,0,male,NA,0,0,SC/A.3 2861,15.5791998,,Cherbourg,,NA,"New York, NY"
2nd,0,male,30,0,0,28228,13,,Southampton,,NA,"St Austall, Cornwall"
2nd,0,male,40,0,0,239059,16,,Southampton,,NA,"Weston-Super-Mare / Moose Jaw,"
2nd,0,male,32,0,0,237216,13.5,,Southampton,,209,"Sydney, Australia"
2nd,0,male,30,0,0,233478,13,,Southampton,,NA,"Sarnia, ON"
2nd,0,male,46,0,0,28403,26,,Southampton,,NA,"Rochester, NY"
2nd,1,female,13,0,1,250644,19.5,,Southampton,14,NA,"England / Bennington, VT"
2nd,1,female,41,0,1,250644,19.5,,Southampton,14,NA,"England / Bennington, VT"
2nd,1,male,19,0,0,SW/PP 751,10.5,,Southampton,B,NA,"Chelsea, London"
2nd,0,male,39,0,0,248723,13,,Southampton,,NA,"Harrow-on-the-Hill, Middlesex"
2nd,0,male,48,0,0,234360,13,,Southampton,,271,"Copenhagen, Denmark"
2nd,0,male,70,0,0,C.A. 24580,10.5,,Southampton,,NA,"Guernsey / Montclair, NJ and/or"
2nd,0,male,27,0,0,211536,13,,Southampton,,NA,"Worcester, MA"
2nd,0,male,54,0,0,29011,14,,Southampton,,NA,"Frankfort, KY"
2nd,0,male,39,0,0,250655,26,,Southampton,,NA,
2nd,0,male,16,0,0,S.O./P.P. 3,10.5,,Southampton,,NA,"Halesworth, England"
2nd,0,male,62,0,0,240276,9.6875,,Queenstown,,NA,"Cambridge, MA"
2nd,0,male,32.5,1,0,237736,30.0708008,,Cherbourg,,43,"New York, NY"
2nd,1,female,14,1,0,237736,30.0708008,,Cherbourg,,NA,"New York, NY"
2nd,1,male,2,1,1,230080,26,F2,Southampton,D,NA,"Nice, France"
2nd,1,male,3,1,1,230080,26,F2,Southampton,D,NA,"Nice, France"
2nd,0,male,36.5,0,2,230080,26,F2,Southampton,,15,"Nice, France"
2nd,0,male,26,0,0,244368,13,F2,Southampton,,NA,"Boston, MA"
2nd,0,male,19,1,1,C.A. 33112,36.75,,Southampton,,101,"Cornwall / Hancock, MI"
2nd,0,male,28,0,0,218629,13.5,,Southampton,,287,Glasgow
2nd,1,male,20,0,0,SC/PARIS 2166,13.8625002,D38,Cherbourg,7,NA,"Cologne, Germany"
2nd,1,female,29,0,0,C.A. 29395,10.5,F33,Southampton,11,NA,"Folkstone, Kent / New York, NY"
2nd,0,male,39,0,0,28213,13,,Southampton,,NA,"Middleburg Heights, OH"
2nd,1,male,22,0,0,W./C. 14260,10.5,,Southampton,13,NA,"Pondersend, England / New Durha"
2nd,1,male,NA,0,0,SC/PARIS 2146,13.8625002,,Cherbourg,9,NA,"Spain / Havana, Cuba"
2nd,0,male,23,0,0,244278,10.5,,Southampton,,NA,"Hamilton, ON"
2nd,1,male,29,0,0,SC/PARIS 2147,13.8583002,,Cherbourg,9,NA,"Spain / Havana, Cuba"
2nd,0,male,28,0,0,SC 14888,10.5,,Southampton,,NA,"St Andrews, Guernsey"
2nd,0,male,NA,0,0,239853,0,,Southampton,,NA,Belfast
2nd,1,female,50,0,1,230433,26,,Southampton,12,NA,"Woodford County, KY"
2nd,0,male,19,0,0,28665,10.5,,Southampton,,NA,"Gunnislake, England / Butte, MT"
2nd,0,male,NA,0,0,SC/PARIS 2131,15.0500002,,Cherbourg,,NA,
2nd,0,male,41,0,0,237393,13,,Southampton,,NA,
2nd,1,female,21,0,1,S.O./P.P. 2,21,,Southampton,12,NA,"Ilfracombe, Devon"
2nd,1,female,19,0,0,250655,26,,Southampton,11,NA,"Worcester, England"
2nd,0,male,43,0,1,S.O./P.P. 2,21,,Southampton,,NA,"Ilfracombe, Devon"
2nd,1,female,32,0,0,234604,13,,Southampton,9,NA,Russia
2nd,0,male,34,0,0,250647,13,,Southampton,,NA,"Denmark / New York, NY"
2nd,1,male,30,0,0,C.A. 34644,12.7375002,,Cherbourg,14,NA,"Milford, NH"
2nd,0,male,27,0,0,SC/PARIS 2168,15.0333004,,Cherbourg,,NA,Paris
2nd,1,female,2,1,1,26360,26,,Southampton,11,NA,"Plymouth, Devon / Detroit, MI"
2nd,1,female,8,1,1,26360,26,,Southampton,11,NA,"Plymouth, Devon / Detroit, MI"
2nd,1,female,33,0,2,26360,26,,Southampton,11,NA,"Plymouth, Devon / Detroit, MI"
2nd,0,male,36,0,0,C.A. 17248,10.5,,Southampton,,NA,"Brighton, Sussex"
2nd,0,male,34,1,0,31027,21,,Southampton,12,NA,"Elizabeth, NJ"
2nd,1,female,30,3,0,31027,21,,Southampton,,NA,"Elizabeth, NJ"
2nd,1,female,28,0,0,230434,13,,Southampton,9,NA,Spain
2nd,0,male,23,0,0,SC/PARIS 2133,15.0458002,,Cherbourg,,NA,"Paris / Montreal, PQ"
2nd,1,male,0.833299994,1,1,29106,18.75,,Southampton,4,NA,"Cornwall / Akron, OH"
2nd,1,male,3,1,1,29106,18.75,,Southampton,4,NA,"Cornwall / Akron, OH"
2nd,1,female,24,2,3,29106,18.75,,Southampton,4,NA,"Cornwall / Akron, OH"
2nd,1,female,50,0,0,W./C. 14258,10.5,,Southampton,13,NA,"London, England / Marietta, Ohi"
2nd,0,male,19,0,0,28004,10.5,,Southampton,,NA,
2nd,1,female,21,0,0,C.A. 31026,10.5,,Southampton,12,NA,"Guernsey / Wilmington, DE"
2nd,0,male,26,0,0,248659,13,,Southampton,,NA,"Newark, NJ"
2nd,0,male,25,0,0,244361,13,,Southampton,,NA,Liverpool
2nd,0,male,27,0,0,244358,26,,Southampton,,NA,"Hornsey, England"
2nd,1,female,25,0,1,230433,26,,Southampton,12,NA,"Deer Lodge, MT"
2nd,1,female,18,0,2,250652,13,,Southampton,16,NA,"Finland / Minneapolis, MN"
2nd,1,female,20,0,0,C.A. 33112,36.75,,Southampton,11,NA,"Cornwall / Hancock, MI"
2nd,1,female,30,0,0,250648,13,,Southampton,10,NA,"Finland / Washington, DC"
2nd,0,male,59,0,0,237442,13.5,,Southampton,,NA,"Sault St Marie, ON"
2nd,1,female,30,0,0,234818,12.3500004,,Queenstown,13,NA,"Halifax, NS"
2nd,0,male,35,0,0,28206,10.5,,Southampton,,NA,Cornwall
2nd,1,female,40,0,0,31418,13,,Southampton,9,NA,
2nd,0,male,25,0,0,C.A. 29178,13,,Southampton,,NA,"Cornwall / Houghton, MI"
2nd,0,male,41,0,0,237734,15.0458002,,Cherbourg,,NA,"New York, NY"
2nd,0,male,25,0,0,F.C.C. 13540,10.5,,Southampton,,81,"Catford, Kent / Detroit, MI"
2nd,0,male,18.5,0,0,248734,13,F,Southampton,,294,
2nd,0,male,14,0,0,220845,65,,Southampton,,NA,"Somerset / Bernardsville, NJ"
2nd,1,female,50,0,0,F.C.C. 13531,10.5,,Southampton,9,NA,"Indianapolis, IN"
2nd,0,male,23,0,0,233639,13,,Southampton,,NA,
2nd,1,female,28,0,0,240929,12.6499996,,Southampton,,NA,"Columbus, OH"
2nd,1,female,27,0,0,34218,10.5,E101,Southampton,16,NA,"Bath, England / Massachusetts"
2nd,0,male,29,1,0,11668,21,,Southampton,,NA,"Plymouth, England"
2nd,0,female,27,1,0,11668,21,,Southampton,,NA,"Plymouth, England"
2nd,0,male,40,0,0,28221,13,,Southampton,,NA,"Barre, Co Washington, VT"
2nd,1,female,31,0,0,F.C.C. 13528,21,,Southampton,14,NA,"Mamaroneck, NY"
2nd,0,male,30,1,0,CA 31352,21,,Southampton,,NA,"Bristol, England / New Britain,"
2nd,0,male,23,1,0,28666,10.5,,Southampton,,NA,
2nd,1,female,31,0,0,CA 31352,21,,Southampton,10,NA,"Bristol, England / New Britain,"
2nd,0,male,NA,0,0,239856,0,,Southampton,,NA,Belfast
2nd,1,female,12,0,0,C.A. 33595,15.75,,Southampton,9,NA,"Aberdeen / Portland, OR"
2nd,1,female,40,0,0,C.A. 33595,15.75,,Southampton,9,NA,"Aberdeen / Portland, OR"
2nd,1,female,32.5,0,0,27267,13,E101,Southampton,12,NA,"England / Hartford, CT"
2nd,0,male,27,1,0,228414,26,,Southampton,,293,"Bromsgrove, England / Montreal,"
2nd,1,female,29,1,0,228414,26,,Southampton,10,NA,"Bromsgrove, England / Montreal,"
2nd,1,male,2,1,1,29103,23,,Southampton,14,NA,"Cornwall / Akron, OH"
2nd,1,female,4,1,1,29103,23,,Southampton,14,NA,"Cornwall / Akron, OH"
2nd,1,female,29,0,2,29103,23,,Southampton,14,NA,"Cornwall / Akron, OH"
2nd,1,female,0.916700006,1,2,C.A. 34651,27.75,,Southampton,10,NA,"Bournmouth, England"
2nd,1,female,5,1,2,C.A. 34651,27.75,,Southampton,10,NA,"Bournmouth, England"
2nd,0,male,36,1,2,C.A. 34651,27.75,,Southampton,,NA,"Bournmouth, England"
2nd,1,female,33,1,2,C.A. 34651,27.75,,Southampton,10,NA,"Bournmouth, England"
2nd,0,male,66,0,0,C.A. 24579,10.5,,Southampton,,NA,"Guernsey, England / Edgewood, R"
2nd,0,male,NA,0,0,SC/PARIS 2159,12.875,,Southampton,,NA,
2nd,1,male,31,0,0,244270,13,,Southampton,9,NA,"London, England"
2nd,1,male,NA,0,0,244373,13,,Southampton,14,NA,"Harrow, England"
2nd,1,female,26,0,0,220844,13.5,,Southampton,9,NA,"Yoevil, England / Cottage Grove"
2nd,0,female,24,0,0,248747,13,,Southampton,,NA,Paris
3rd,0,male,42,0,0,C.A. 5547,7.55000019,,Southampton,,NA,
3rd,0,male,13,0,2,C.A. 2673,20.25,,Southampton,,NA,"East Providence, RI"
3rd,0,male,16,1,1,C.A. 2673,20.25,,Southampton,,190,"East Providence, RI"
3rd,1,female,35,1,1,C.A. 2673,20.25,,Southampton,A,NA,"East Providence, RI"
3rd,1,female,16,0,0,348125,7.6500001,,Southampton,16,NA,"Norway Los Angeles, CA"
3rd,1,male,25,0,0,348122,7.6500001,F G63,Southampton,A,NA,"Perkins County, SD"
3rd,1,male,20,0,0,SOTON/O2 3101284,7.92500019,,Southampton,15,NA,"Taalintehdas, Finland Hoboken,"
3rd,1,female,18,0,0,2657,7.22919989,,Cherbourg,C,NA,"Greensburg, PA"
3rd,0,male,30,0,0,C 7076,7.25,,Southampton,,72,"Asarum, Sweden Brooklyn, NY"
3rd,0,male,26,0,0,341826,8.05000019,,Southampton,,103,"Bournemouth, England"
3rd,0,female,40,1,0,7546,9.47500038,,Southampton,,NA,"Sweden Akeley, MN"
